Municipio;Nombre;Comentario;Referencia
tres cantos;Burrolandia;Abre al público los domingos, para ir tienes que tener Reserva, algo que comprobaron al llegar. Es un recinto amplio con muchos burros en sus zonas cerradas y algunos sueltos, pequeñines sobre todo lo que hace que los niños no tengan miedo y les haga mucha ilusión. No cobran…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or10-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un sitio genial para pasar una mañana con los niños y disfrutar de los animales. Vamos mucho porque a mi hija le encantan los burros y siempre es un rato de lo mas agradable.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or10-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Creo que es un buen plan para ir con niños, siempre está bien que tengan contacto con los animales y les tengan respeto. Aquí los burros están muy bien cuidados y se nota, gracias a las contribuciones de los visitantes (y de donantes en general), que aunque la entrada es…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or10-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Nos encantó a  todos! El plan perfecto para una mañana de domingo con niños. Tienes la posibilidad de ver varios animales y darles de comer.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or10-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un lugar para pasar un buen rato con los más pequeños de la casa. Para dar de comer a los animales te venden cubos con algo de fruta y verdura por 2,50 €, si das de comer a cualquiera de los burros sueltos, te seguirá allí donde vayas hasta que se te acabe la comida. Eche un…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or10-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Burrolandia es un recinto pequeñito pero muy aprovechado donde además de burros hay otros animales, muy cuidados. Se puede dar un paseo viéndoles, darles de comer (lo que allí venden, para no variar su alimentación), dar un paseo en una calesa pequeñita. Es ideal para ir con…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or15-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Estuvimos hace unos meses en burrolandia, es un sitio agradable donde puedes ver varios tipos de animales, fundamentalmente  el burro, hay más de 50 y todos diferentes,  grandes pequeños y de varios colores, perros, gallinas, caballos,...para los más peques un sitio genial y…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or15-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Una o dos veces al año llevamos a las sobris. Es un plan que puede ser corto o algo mas largo si comes alli, nosotros solemos estar 1,5h. Lo tienen muy bien cuidado y no se pasan con los precios;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or15-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un sitio encantador, donde los pequeños pueden entrar en contacto con los animales. Venden unos cubitos con zanahorias y pan (2'50€) para alimentar a los burros, y hay un bar/cafetería para poder tomar algo fresquito y picotear.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or15-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;La verdad es que temía encontrarme lo peor antes de ir debido a las malas críticas que encontré por internet pero nada que ver. Sí es cierto que hay mucha gente con niños pero el lugar es grande y se puede andar perfectamente. Al llegar a la zona, había un hombre que preguntaba…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or15-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;No es cierto lo que cuentan algunos de que no se controle el aforo o a los niños, estamos muchísimos colaboradores y voluntarios con bastante experiencia mirando con lupa, tanto el que no entre gente sin reserva para tener el aforo siempre controlado, como el que los niños,…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or20-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;1. Tener contacto con animales no es eso: un montón de gente campando a su aire y haciendo lo que le da la gana, incluidos menores que no son conscientes de los riesgos 2. Por más que los animales estén acostumbrados a la gente, la muchedumbre que se junta un domingo en…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or20-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Hacen una labor muy interesante ayudando a los animales, y es una pasada pasear y tenerlos tan cerca. Sin embargo, no parece que exista aforo y se llena de demasiada gente, lo cual supone un agobio para los animales y para las personas que no podemos ni acercarnos. Hace falta…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or20-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Desde que se ha convertido en un negocio, es un sitio horrible. Aparcan en zona protegida como es la Cuenca Alta del Manzanares, mas de 1.000 coches todos los domingos, con la consiguiente contaminacion. Como se repita un incendio como ya ocurrio, puede se terrible, ya que no…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or20-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Para empezar quieren parecer un sitio serio haciendote reservar. Cuando llegas alli te encuentras con que entra todo quisqui sin pedir nada con reserva y sin ella. Una finca super pequeña y parece un hormiguero de la gente que entra alli. Los animales estresados porque los…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or20-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Llevo años yendo a burrolandia y me parecía un plan estupendo  pero de ha ido delas manos. Colas para aparcar, colas para acceder aun teniendo entrada anticipada, no se podia ni andar por el recinto ni quedaba comida. Creo que se esta perdiendo la Esencia del lugar. Seria mas…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or25-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un lugar perfecto para pasar el domingo por la mañana con los burritos. Hay bar, comida para los animales, wcs, espacio y unos animales perfectamente cuidados.   Eso si ves de 10 a 11 y si vas a paetir de las 11.30 un dia soleado te comeras un atasco increible y no podras…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or25-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Como actividad, pues es original. No hay que pagar entrada pero sí los cubitos de comida para los burros, cabras y demás animales. Es una buena iniciativa pero hay que elegir bien el día, pues se llena de visitantes. Para niños muy pequeños, bien. Pero si tienen más de 5 o 6…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or25-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Es un buen sitio para ir con niños y disfrutar de la compañía de los animales. Mejor ir un dia soleado, en invierno y con lluvia no merece la pena y la terraza para tomar algo la encontrarás cerrada.;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or25-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un sitio muy chulo para ir con niños pequeños. Alucinan dando de comer a los animales y teniéndolos tan cerca. Pasas una mañana de domingo muy entretenida. ¡Volveremos!;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or25-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Estuvimos toda la mañana dando de comer a los burritos, a los ponys, cabras... Incluso hay algun burrito suelto!! Para aplacar un poco el calor, tenian puesto un aspersor gigante para los niños. Y además el dia que fuimos habia un mini mercadillo, en el que vendian antigüedades,…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or85-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Es una finca muy grande donde hay, lógicamente, burros, y también algun caballo, cabras, ovejas. Es gratis pero agradeden donativos. Tiene un bar, donde hacen barbacoa y también venden comida para que alimenten a los bichos,aunq se puede llevar de casa zanahorias o pan duro. Hay…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or85-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Fui con mis hijos y sobrinos hace un mes y la verdad es que me gustó. Es una buena idea para que gente urbanita pueda estar en contacto con animales: hay burros, gallinas, caballos...puedes darles de comer, tocarlos. A los niños les gusta mucho. La entrada es gratuita y se…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or85-Burrolandia-Tres_Cantos.html
tres cantos;Burrolandia;Un gran plan para ir con niños. Es una finca particular en la que tienen diversos animales, sobre todo burros, pero también gallinas, ocas y pavos, un cerdito, una cabra, una oveja, un cervatillo, algunos caballos y hasta una vaca india con unos cuernos enormes. Algunos de los…;https://www.tripadvisor.es/Attraction_Review-g562662-d10021149-Reviews-or85-Burrolandia-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;El trato ha sido estupendo. Destaco a Paula que nos estuvo sirviendo, todo el tiempo ha estado atenta de nosotros y ha hecho que la noche sea mágica ♥️;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Recientemente tuvimos una boda. El complejo es espectacular, tanto los jardines como salones. La comida de buena callidad. Lo unico que tengo en pega es que estan algo desorganizdos si la boda es cuantiosa en personas, y faltaba coordinación y rapidez. Sin ir mas lejos, a mi personalmente me tuvieron que retirar tres veces para hacer mas el palato de carne, y no por que yo sea quisquillosa, es que la primera vez le hice unos cortes para que se hiciese mejor y se limitaron a traerme otro distinto a medias de hacer tambien, cosa que se repitio hasta que insisti en que me hicieran el que les daba cortado. Tambien dejaron apenas sin luz el coctail, con el consiguiente disgusto para los novios, y los invitados a pesar de disfrutar de la comida, no veimos apenas y teniamos que iluminar al cortador de jamon con la linterna del  movil...…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Boda de mediodía con todo lujo de detalles. El lugar es un parque natural. Los entrantes se sirven en una gran terraza, La calidad de los productos estupenda y un Servicio de 10. La sala interior muy amplia,por decir algo “Excesivamente Ruidosa “ La calidad de la ensalada de Atún muy buena  Él solomillo muy bueno . El postre espectacular obleas fritas con crema pastelera. Un 10 para la boda …;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Estuvimos de boda y no faltó ningun detalle. El sitio es precioso y la comida estuvo exquisita. Todo un acierto;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;"Hace poco celebró una buena amiga la boda allí y tengo que decir que disfrute muchísimo. El entorno precioso, buena gastronomía y el servicio, en líneas generales profesional, si bien uno de los camareros que nos atendió la mesa estuvo un poco ""delicado"" a la hora de hacerle unas puntualizaciones sobre los postres. Pero el Maitre y el resto de camareras muy bien.…";https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Si llego a saber que podía opinar aquí sobre este sitio, lo hago antes jejejeje. Hicimos nuestro banquete aqui y fue sencillamente ESPECTACULAR, no faltó de nada, no lo hicimos en el mismo castillo, pero nos dió lo mismo, elservicio fue exquisito, la comida genial, todo fue…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or5-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;"A este establecimiento le tengo un especial cariño, ya que se han casado algunos de mis mejores amigos y mi hermano ""pequeño"". He de decir que todas las veces que he estado (unas 4) he disfrutado muchísimo, tanto de su gastronomía, la atmósfera que se respira pero, sobre todo,…";https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or5-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;El pasado mes de diciembre celebramos nuestra boda en el Castillo Soto de Viñuelas, fue todo perfecto, el entorno, el edificio, la comida, el servicio... agradecer la atención previa de Carlos y durante la boda de Isaac, que hicieron que todo saliera tal como estaba previsto. …;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or5-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Fantanstico lugar para grandes celebraciones, eventos.   Hay que tener presente la ubicación del Castillo para saber disfrutar del mismo y sus instalaciones.  ;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or5-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Fuimos de boda y estuvimos como en nuestro castillo, éramos los reyes.  Buena comida, lugar idílico y espectacular dentro del viñuelas, ese entorno que tantas veces lo he rodeado en Btt.  Es probable que mientras vayas al castillo veas jabalíes, o corzos.  Buen menú, buena…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or5-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Estuve en una boda dentro del castillo y fue probablemente el entorno más bonito que he visto para una celebración. Las carpas exteriores donde se celebraban otras bodas, sin embargo, carecen de atractivo.  Según la época, se oye la berrea de ciervos al anochecer. Es único ;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or10-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Como lugar, no tiene desperdicio, un enorme parque os abre las puertas y nos adentra hasta llegar al Castillo. Edifico perfectamente conservado, con enormes salones y donde cualquier evento lucirá en su máximo esplendor.  Debido a su distribución,  permite que el catering se…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or10-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;"Vinimos en una comida organizada por una Empresa; es un sitio muy bonito, dentro de un coto de caza donde puedes ver venados al lado de la carretera; es un castillo de la familia Botín, acondicionado a eventos y comidas; es una pasada. Nos hizo muy buen tiempo y el cóctel fue…";https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or10-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Este fin de semana estuvimos en este lugar para celebrar una boda y el sitio es espectacular sobre todo los alrededores el edificio en si está un poco no diría viejo pero los años no pasan en balde los jardines de lujo y la entrada con lo animales sueltos una gozada lo malo es…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or10-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;El pasado 2 de Septiembre mi hija celebró su boda en el Castillo de Viñuelas, fue una boda impecable, la comida exquisita y el lugar de sueño. Tengo que destacar a la persona que dirigió personalmente la boda: Carlos Linaza, un profesional de los pies a la cabeza, que siempre…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or10-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Un lugar elegante, cómodo y fresco (para verano, ideal). El interior muy bien decorado, la terraza con césped fresquita y muy ien ambientada y la comida excelente;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or15-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Estuvimos para unas conferencias de una gestora. Hay que entrar en dirección a la segunda fase de Tres Cantos, hacia el kilómetro 20. Te vas adentrando en el campo, hasta llegar a una verja amplia de hierro. Una vez dentro de la finca, sigues por una carreta llena de vegetación,…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or15-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Estuve en una boda y me parece un sitio recomendable. Super bonito y perfecto para celebrar eventos como bodas, comuniones, etc. ;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or15-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Estuvimos anoche celebrando la boda de un gran amigo y la verdad que nos impresionó mucho el sitio, el castillo es Brutal y la celebración fue algo especial, el cocktail fue muy rico y la cena también. ;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or15-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Primero decir que el castillo de viñuelas es precioso y desde que entras en la finca ves ciervos por todos lados hasta que llegas al castillo. El castillo es espectacular y el jardín precioso para hacer el coctail.  La cocina es de Catering Mallorca que es de lo mejorcito de…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or15-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Asisti a boda, por que se pueden celevbrar bodas alli, tanto en el castillo como en las caballerizas.  Esta aislado dentro de una gran finca y la verdad es que resulto estupendo todo.;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or20-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Hemos estado varias veces, hace años abierto a todos en general, despues por amigos que tenían relación con la inmobiliaria, siempre es grato una visita. como entorno natural no tiene precio por la cantidad de fauna y reserva que casi es una reserva natural. Como resturante creo…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or20-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Hemos ido a un par de bodas allí y es un sitio espectacular, la comida era algo escasa y de catering, pero el sitio es para recordar.;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or20-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Buen lugar ideal para bodas de alto copete.Jardin fuera para cocktail y bonito salon en el castillo para el resto.Muy buen catering,sobre todo el cocktail.Tuvieron que cambiar afuera la zona de baile por el calor.Autocares para llegar por lo lioso del camino.Supongo que seria…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or20-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Me gustó el ambiente, quizá porque lo conocí durante una fiesta. Me encanta en primevera. No me gustó el precio;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or20-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Estuve en el castillo de viñuelas en una boda. Ni que decir tiene q el castillo es precioso y la decoración y todo lo que tiene a su alrededor también. Lo peor el acceso que tiene a través de una carretera bastante mala. Ideal para celebraciones!! Muy recomendable ;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or25-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;El castillo es impresionante, muy frío y para llegar a él hay que tener autorización (normalmente por acudir a un evento) y que atravesar un buen tramo de la finca.;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or25-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Celebramos nuestra boda allí y es el mejor sitio de cuento. Tiene unos alrededores magníficos y el palacio por dentro una maravilla de amplitud para que la gente se quede impresionada y se sienta muy a gusto. El catering de Mallorca muy correcto y rico. El personal de 10. Fue un…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or25-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Recientemente he ido a una boda al Castillo de Viñuelas y me parece uno de los mejores sitios donde celebrar dicho evento pues desde la ceremonia hasta el baile se hace en el mismo lugar.  La finca fue adquirida por el duque del Infantado tras haber sido subastada durante la…;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or25-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Castillo del Soto de Viñuelas;Este castillo es para mi una joya, impecable estado, buena conservación, gran mantenimiento. Es un sitio ideal para celebraciones y eventos, rodeado de una zona natural que le hace marco a su encanto. Es complicado visitarlo pero vale la pena.;https://www.tripadvisor.es/Attraction_Review-g562662-d4232311-Reviews-or25-Castillo_de_Soto_de_Vinuelas-Tres_Cantos.html
tres cantos;Parque Central;Un auténtico paraíso en Tres Cantos, gratamente sorprendida al descubrir este parque y poder pasear por él. De visita obligada para estirar las piernas y disfrutar de un momento de relax.;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Ese parque da gusto pasear por allí el oido de los patos y peces por el agua parecen tiburones... te puedes tumbar en el césped y si te tumbas te duermes. Solo lo malo que tiene que esta el agua verde lo teníamos que cambiar y ponerlo limpia así los animales vivirán mejor. Y han puesto para hacer canoa esta excelente .        …;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Vivo muy cerca y es estupendo pasear junto al lago. Hay muchos senderos y algunos tienen vistas sobre la sierra.;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Hermoso lugar para descansar y pasear con niños. Es un espacio verde y bonito que merece ser conocido. ;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Fuimos a caminar un domingo por la mañana. Hacia buen tiempo y fue realmente agradable.  Caminamos contornando el bonito lago que hay allí y pudimos percorrer inúmeras sendas. Hay unos rosales q deben de ser muy bonitos por primavera. Hay servicios públicos y lugares para una merienda campestre. Quedamos con ganas de volver.…;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Bonito parque con un montón de árboles y mucho espacio para pasear, hacer deporte, jugar al fútbol o al baloncesto, columpios y tirolinas para los niños y pista de patinaje. Tiene carril bici, algunas pendientes cortitas pero pronunciadas, etc. Muy agradable.;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or5-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Todas las tardes sea verano o invierno bajo a dar un paseo por el parque. Yo diría que es lo mejor que tiene Tres Cantos, lo que le hace una ciudad única, su parque central, con el lago, y los caminos para pasear. Tengo ganas de que terminen las obras que están haciendo con el…;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or5-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Es un lugar estupendo para pasear, si bien, no considero que sea un lugar de destino específico, si estás en Tres Cantos, merece un paseo, de otra manera, no merece una visita concreta desde otra localidad;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or5-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Buen parque para hacer ejercicio o pasear con amigos o mascotas. En pleno centro de Tres Cantos y con parques de juegos para los más pequeños. ;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or5-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Después de un par de años trabajando en la zona, hasta hace un mes no descubrí que a cinco minutos de la oficina teníamos esta maravilla de parque. Ideal para desconectar, pasear, hacer deporte y sobre todo, respirar.;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or5-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Si te gusta salir a correr por zona natural es el sitio ideal, ya que estás en plena naturaleza, pero a la par dentro de la civilización y a la vez que haces deporte puedes sentir el aire, el sol y la yerba a tus pies. Tiene sus cuestas y te hace sudar, pero es un sitio ideal…;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or10-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Es un lugar especial, el lago, los jardines y las aves acuáticas, todo ello te inspira serenidad. Muy recomendable para todo el mundo, sobre todo familias con niños.;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or10-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Un parque muy bonito y cuidado pero el lago podría usarse para actividades como barcas de recreo como las del retiro;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or10-Parque_Central-Tres_Cantos.html
tres cantos;Parque Central;Decir que es una especie de mini Central Park de Tres Cantos quizás es un poco fuerte pero si que es un lugar agradable para pasear, correr, dar una vuelta con un niño en bicicleta sin peligro de coches...Hay sitios para que los niños jueguen;https://www.tripadvisor.es/Attraction_Review-g562662-d8134852-Reviews-or10-Parque_Central-Tres_Cantos.html
